Date,Open,High,Low,Close,Volume
12/21/2020,"353.16","353.94","346.60","349.35","2,128,723"
12/18/2020,"352.04","356.79","350.01","356.03","4,342,035"
12/17/2020,"355.93","357.66","351.88","352.60","1,658,146"
12/16/2020,"357.25","357.90","353.65","354.57","1,986,456"
12/15/2020,"358.73","359.89","355.45","357.57","1,521,203"
12/14/2020,"363.50","365.62","357.44","357.66","1,370,771"
12/11/2020,"354.55","363.12","354.19","361.71","1,410,012"
12/10/2020,"359.52","364.22","355.20","355.39","1,378,723"
12/09/2020,"359.85","362.59","356.95","361.35","1,522,393"
12/08/2020,"360.98","363.17","358.84","359.23","1,783,602"
12/07/2020,"366.90","366.90","360.54","362.13","1,390,470"
12/04/2020,"363.12","367.73","362.11","366.61","1,222,573"
12/03/2020,"362.12","369.50","360.96","362.03","1,758,402"
12/02/2020,"364.99","365.99","360.01","361.36","2,519,989"
12/01/2020,"368.47","373.29","364.87","364.99","1,300,793"
11/30/2020,"370.79","372.44","363.39","365.00","1,608,390"
11/27/2020,"378.81","378.81","373.45","374.34","612,298"
11/25/2020,"377.09","381.95","376.23","378.34","854,993"
11/24/2020,"375.28","378.48","373.06","378.48","959,456"
11/23/2020,"371.54","374.53","369.86","370.85","929,449"
11/20/2020,"375.97","377.24","367.62","368.02","1,117,931"
11/19/2020,"375.00","377.75","372.17","376.46","1,075,405"
11/18/2020,"377.49","383.47","376.24","377.56","1,066,781"
11/17/2020,"375.66","380.48","375.25","375.90","1,321,480"
11/16/2020,"378.05","380.69","376.08","377.13","1,306,768"
11/13/2020,"370.57","376.00","369.23","375.14","921,474"
11/12/2020,"367.50","370.57","365.51","367.89","856,345"
11/11/2020,"372.87","373.33","365.68","369.28","1,115,361"
11/10/2020,"365.00","373.44","363.94","371.28","1,708,205"
11/09/2020,"379.60","381.52","363.73","363.95","1,956,921"
11/06/2020,"363.30","363.73","357.95","361.27","1,401,617"
11/05/2020,"374.55","376.50","363.77","364.70","1,709,297"
11/04/2020,"371.07","381.46","369.51","372.16","2,146,525"
11/03/2020,"357.13","366.20","356.21","363.44","1,484,628"
11/02/2020,"356.12","359.91","350.72","352.42","1,707,749"
10/30/2020,"350.64","353.73","345.65","350.13","1,310,167"
10/29/2020,"350.00","356.23","348.29","352.44","1,547,977"
10/28/2020,"356.87","360.00","350.45","350.86","1,680,134"
10/27/2020,"367.00","367.98","360.81","362.43","977,417"
10/26/2020,"369.43","369.87","362.50","368.55","1,387,270"
10/23/2020,"371.34","376.19","369.01","374.33","1,178,882"
10/22/2020,"367.50","371.11","365.15","368.96","1,255,370"
10/21/2020,"372.21","375.00","365.00","367.14","1,931,194"
10/20/2020,"382.59","385.79","371.80","372.21","1,783,180"
10/19/2020,"387.24","389.60","381.67","383.71","1,180,993"
10/16/2020,"388.49","389.78","386.09","386.50","952,117"
10/15/2020,"387.33","388.87","383.22","386.12","792,113"
10/14/2020,"387.14","395.46","387.14","390.72","1,090,394"
10/13/2020,"386.14","390.56","385.12","388.95","973,378"
10/12/2020,"386.00","390.51","383.26","388.92","807,358"
10/09/2020,"388.41","390.10","385.29","385.93","675,020"
10/08/2020,"383.90","389.19","382.28","388.59","695,156"
10/07/2020,"378.60","383.84","378.56","382.94","826,844"
10/06/2020,"386.03","386.11","376.02","376.46","954,931"
10/05/2020,"383.24","385.89","378.86","383.96","825,249"
10/02/2020,"376.00","383.48","374.28","380.58","1,217,172"
10/01/2020,"384.00","390.00","379.00","380.89","1,103,853"
09/30/2020,"389.47","389.76","380.51","383.28","1,410,264"
09/29/2020,"389.61","393.15","387.51","388.74","1,121,387"
09/28/2020,"390.00","396.61","389.65","390.51","980,091"
09/25/2020,"377.45","388.40","376.45","386.70","1,375,385"
09/24/2020,"383.25","384.49","375.10","378.76","1,295,262"
09/23/2020,"389.23","394.43","381.99","383.24","1,223,324"
09/22/2020,"381.88","392.48","381.34","388.42","1,286,535"
09/21/2020,"388.50","389.87","377.23","379.61","1,447,716"
09/18/2020,"394.15","399.00","394.15","395.14","2,636,802"
09/17/2020,"392.00","398.55","389.54","395.94","959,548"
09/16/2020,"391.11","399.60","390.93","395.58","1,052,509"
09/15/2020,"395.65","396.00","386.89","392.55","955,899"
09/14/2020,"393.37","396.67","391.62","393.75","991,054"
09/11/2020,"381.47","390.50","380.75","389.45","933,979"
09/10/2020,"386.02","388.53","378.33","379.11","716,427"
09/09/2020,"382.69","389.42","381.01","385.24","1,218,293"
09/08/2020,"383.99","385.29","378.36","380.23","1,071,648"
09/04/2020,"388.51","391.55","379.58","385.02","933,794"
09/03/2020,"399.50","401.88","383.38","386.29","1,500,784"
09/02/2020,"385.15","398.90","384.11","398.07","1,214,735"
09/01/2020,"387.82","389.19","385.00","386.81","908,902"
08/31/2020,"392.17","395.00","388.47","390.26","1,030,838"
08/28/2020,"395.51","396.00","391.73","395.59","728,261"
08/27/2020,"396.84","400.09","394.88","395.02","700,460"
08/26/2020,"393.00","397.66","390.56","395.44","908,779"
08/25/2020,"395.72","402.38","392.40","394.84","987,415"
08/24/2020,"390.83","395.57","389.90","395.04","1,006,398"
08/21/2020,"387.71","390.79","386.86","389.57","996,274"
08/20/2020,"388.28","389.20","383.58","387.88","1,203,695"
08/19/2020,"390.08","391.97","388.84","390.05","717,523"
08/18/2020,"389.17","391.91","388.34","390.26","806,128"
08/17/2020,"393.98","395.19","387.73","388.96","864,415"
08/14/2020,"388.64","394.20","388.02","391.42","648,605"
08/13/2020,"390.35","394.05","387.00","389.24","1,053,647"
08/12/2020,"394.02","396.52","391.29","392.44","878,821"
08/11/2020,"391.51","399.49","391.33","391.96","1,312,906"
08/10/2020,"386.02","391.11","385.96","389.26","856,011"
08/07/2020,"380.01","386.66","378.76","385.62","924,890"
08/06/2020,"381.78","383.19","378.09","379.74","698,536"
08/05/2020,"380.00","384.87","378.27","383.50","1,018,673"
08/04/2020,"379.08","380.84","376.29","377.99","900,732"
08/03/2020,"376.84","378.41","371.44","377.10","923,365"
07/31/2020,"380.55","381.37","373.68","378.97","1,101,905"
07/30/2020,"382.71","385.84","380.86","381.72","983,373"
07/29/2020,"389.56","390.47","384.63","387.30","1,209,630"
07/28/2020,"382.00","390.21","382.00","386.66","1,132,400"
07/27/2020,"384.73","385.99","380.11","382.09","1,047,198"
07/24/2020,"388.00","393.49","383.61","386.21","1,305,844"
07/23/2020,"393.77","394.15","385.71","387.62","1,442,823"
07/22/2020,"376.71","394.67","375.62","394.08","2,280,690"
07/21/2020,"377.98","378.90","370.58","375.12","1,998,090"
07/20/2020,"369.00","369.00","362.43","365.53","1,444,498"
07/17/2020,"366.30","369.00","362.85","368.50","1,137,227"
07/16/2020,"362.30","365.94","359.02","365.88","955,809"
07/15/2020,"361.64","365.58","360.56","364.56","1,617,526"
